词条名,0min,30min,60min,90min,120min,150min,180min,210min,240min,270min,300min,330min,360min,390min,420min,450min,480min,510min,540min,570min,600min,630min,660min,690min,720min,750min,780min,810min,840min,870min,900min,930min,960min,990min,1020min,1050min,1080min,1110min,1140min,1170min,1200min,1230min,1260min,1290min,1320min,1350min,1380min,1410min,1440min
厦大最美文艺隧道遭涂鸦,135819,243996,329338,502166,468635,369344,359817,336742,379080,275378,346492,337464,198037,143426,324261,366439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
为什么包邮区会下大雪,103261,726602,521063,527204,311034,331942,303019,225187,172465,142017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李现为杨紫庆生,203806,1992051,1770825,1612765,1650069,1648862,1445595,647545,640782,450890,613975,641974,343188,317536,362388,325169,252153,269944,290859,268880,154609,107179,68747,43233,30977,25435,21709,17895,17295,15829,13903,15819,20116,31472,48884,63705,,,,,,,,,,,,,
李现古装刘海,165420,238100,213138,283855,256689,217859,248764,226612,241588,216323,175445,213458,202285,183448,170752,174828,140605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高以翔追我吧录制画面,53739,311180,394247,539640,520062,334242,137144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庆余年角色名,166565,431650,424435,401337,356126,303402,294430,316149,297872,256066,235124,235542,277310,288863,292355,281183,260529,223291,182284,131484,74234,50812,37954,30035,25604,22169,20287,16539,14061,13637,15961,25525,45744,63829,,,,,,,,,,,,,,,
周震南复古宫廷风,148274,236442,220942,205443,189944,174445,158945,143446,127947,112448,96948,81449,65950,50451,34951,19452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
怎么试探女朋友生没生气,106766,282470,246319,220929,403644,355457,366985,258317,176756,149231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
珍珠奶茶馒头,230692,1084892,1097164,949780,711340,526454,368862,293188,221059,166088,153561,68758,58335,49520,45902,45372,58271,85715,165496,249761,259283,498652,435352,406255,325782,124113,,,,,,,,,,,,,,,,,,,,,,,
没有TFBOYS的节目,137468,2421473,2464130,445431,604537,468475,347840,241397,332441,600029,472325,364280,286606,218918,166857,139069,129910,118813,157464,286367,552187,691588,174400,143976,113920,,,,,,,,,,,,,,,,,,,,,,,,
女生眼中的腿精,116787,757101,749111,661900,595024,511675,447863,386394,375705,307098,275564,259119,246470,222541,197247,172284,145647,145487,139453,120511,96907,77681,56695,37258,28400,22032,17474,14570,12669,11533,11020,11197,12665,16085,26225,,,,,,,,,,,,,,
岳云鹏给军艺三大校草颜值排序,78010,270450,385386,393139,334835,194757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张大大 抑郁症,149911,4819682,4897000,4663691,4614273,4187010,3823712,3335253,2988173,2691547,2716986,2546798,1599552,405756,390051,360229,448682,427820,390987,280503,297619,218323,225650,181970,136845,96179,66026,45962,34538,26953,23385,20024,19134,18158,18496,22139,34619,56208,,,,,,,,,,,
本专业令你震惊的冷知识,166724,208894,296889,265943,227253,226951,194839,143961,93068,61448,48249,38124,31400,26066,24029,23283,22155,24450,41706,87862,139760,177699,167481,137431,106825,,,,,,,,,,,,,,,,,,,,,,,,
马思纯肚子,203337,3930086,4929377,4808243,4384467,3580000,2909076,2301894,1630340,2134334,1856554,1210062,711814,908186,820546,346767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴彦祖谈阑尾破裂经历,88971,1437619,2062079,1905090,1514560,1273520,1076023,836359,629790,772555,603365,223217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
戴着耳机最好不要说话,171772,160285,693428,887329,591898,229717,193078,142671,106823,88013,73524,56318,75634,111439,230368,361225,351308,326327,173073,194456,228468,726667,581062,438939,326289,256251,195333,161807,,,,,,,,,,,,,,,,,,,,,
李艺彤回应黄婷婷解约,165972,1987008,2245854,2060304,1581780,640948,735246,341074,306765,295559,248258,178348,133760,98780,70602,54136,41909,34778,30335,26755,26942,32644,46964,76370,88859,102059,103328,,,,,,,,,,,,,,,,,,,,,,
惹不起的殿下大人太好笑了,80890,446284,399167,373473,316434,290313,360216,238763,341449,231285,217404,181231,145741,138669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰山币,145644,282067,251902,181323,119542,86186,66741,43360,29465,31693,24471,45701,66388,119028,119177,113306,102723,94631,97852,198410,103393,106073,137635,137625,137614,137604,137593,137583,137573,137562,137552,137541,137531,137520,137510,137500,137489,137479,137468,137458,137448,137437,137427,137416,137406,137395,137385,137375,137364
李玟雨无强制猥亵嫌疑,141430,514078,551822,933854,267926,204627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邓稼先去世前对爱人说的话,112867,1452729,1409729,1250841,2498417,4390409,3921298,830202,778797,461350,2521454,183767,373646,178507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唐嫣 腿,188218,1400527,1108990,955931,969491,830700,720979,690260,808321,1941527,1772959,1523635,923054,473706,286926,240015,257457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在考场里见过的奇葩事,130261,326855,263447,242260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05后的恋爱速度,125678,294424,382541,373591,278347,249886,242213,229521,234552,241637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨紫牛仔帽,174832,595319,1045787,1279854,430138,312417,295179,221983,166402,195279,192216,186962,206707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江一燕获奖别墅未获规划审批,36040,82148,348798,174665,202977,233059,1973359,1607939,1271884,691997,396691,303986,225916,144776,158032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越南确认全部遇难者是越南人,133905,1291176,2267963,2039506,1554768,1207471,820221,487603,375535,271841,217899,187677,122459,111893,103858,114768,127479,281931,586777,369839,857893,270044,348027,198898,224276,174314,210826,253085,202222,214100,369915,63764,,,,,,,,,,,,,,,,,
爸爸为孩子打造星空卧室,188264,544894,699590,865278,619134,444636,490190,656992,576563,452781,392545,371721,367637,1035529,163650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
降落时发现海里全是水母,47871,297302,340045,1110854,869767,750974,677187,400896,463344,392220,326444,346080,354446,247372,210240,161244,122010,111974,101998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金骨朵,137327,450685,427529,514990,408287,282775,208146,180189,146484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鲍鱼卖出白菜价,120306,587214,790786,730822,318199,470466,385412,277781,196998,137366,98681,62022,49093,43843,36762,31758,24680,23076,42403,77729,161089,213814,221831,289643,268071,204055,149864,133479,119525,105593,96811,94684,86179,63237,49502,,,,,,,,,,,,,,
黄晓明卷毛,58693,216320,283331,311427,276705,267165,211447,192073,182440,188245,251583,270792,301875,341795,291950,191375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRF全员成为自由人,222543,377977,370645,314800,755484,544978,376233,251685,173449,140634,115568,32910,89760,82288,88910,113996,135672,90343,95045,77069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外交部 美方锁住门囚禁的是自己,211479,978078,601314,830035,274306,334978,315474,314486,278486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你本人和照片的区别,141635,289641,261086,267514,273769,260632,273864,282694,341722,374473,362468,364536,263618,197290,137901,89256,66182,51399,41053,31463,23876,21434,20166,21279,28878,51011,78308,89198,104483,114664,104318,,,,,,,,,,,,,,,,,,
治疗艾滋病白血病新方法,157547,1489404,1488992,1155704,759413,1137743,2533206,2471464,472074,1002258,975389,863263,740340,676855,752602,694540,536444,644894,534811,892148,1307449,790305,666873,310244,277352,208633,186153,152595,108328,79000,66713,47721,36457,33345,29708,36292,50289,85847,106878,,,,,,,,,,
爸妈比你还好看是什么体验,159548,410995,374315,355749,287585,232224,214883,185657,174180,122828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李诚儒感谢李宇春的勇敢,151661,522103,1432742,1106387,763727,509942,353679,224433,83804,59158,46665,75772,77388,78087,83920,119933,206646,52991,128968,106019,109624,102345,,,,,,,,,,,,,,,,,,,,,,,,,,,
康辉撒贝宁讨论饭圈女孩,91956,1240227,1436061,1402751,1666203,1831569,2064093,1422371,601909,431916,340712,339036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林峯张馨月合照,22842,1416811,1456258,354244,438655,399126,408902,457686,239963,208366,233880,235594,285918,207494,146094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有个妹妹是一种什么体验,64060,372535,475033,419519,375056,306458,272749,239827,207447,175702,164007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你见过吃相最好看的人,206050,250742,349365,424748,304580,339148,371982,327532,326792,269200,204042,172832,143722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孟美岐古装反串造型,92436,199254,252124,233448,214192,228972,268272,228992,289454,297127,245119,189348,121317,135429,129891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京暴雪蓝色预警,156123,323795,747960,422188,420778,436921,594083,456994,675111,768864,866254,832588,579536,312397,159096,100938,73296,59792,48449,38628,49476,54694,47817,42783,25008,24729,31616,60234,117232,52959,75268,71820,52827,46223,43342,,,,,,,,,,,,,,
