词条名,0min,30min,60min,90min,120min,150min,180min,210min,240min,270min,300min,330min,360min,390min,420min,450min,480min,510min,540min,570min,600min,630min,660min,690min,720min,750min,780min,810min,840min,870min,900min,930min,960min,990min,1020min,1050min,1080min,1110min,1140min,1170min,1200min,1230min,1260min,1290min,1320min,1350min,1380min,1410min,1440min
消防员为什么用叉子吃饭,128982,282344,697443,630228,642446,672121,640571,457792,536237,525874,694669,493113,351998,288924,187762,111046,131538,49474,39162,31815,66345,56354,56420,65668,57549,115493,234502,265825,280112,445715,150112,89408,,,,,,,,,,,,,,,,,
迪丽热巴韩网生图,225901,590761,610920,599825,675843,623215,473423,277782,173490,126609,101926,81517,64606,45413,33067,31271,37468,67265,145226,142408,215032,333556,355973,299440,215890,343216,281400,227660,195419,170554,,,,,,,,,,,,,,,,,,,
杨迪妈妈太可爱了,152705,1219174,1158364,864353,545553,367124,257134,176981,96628,84038,89010,87296,90138,99681,165102,344938,578325,669774,318187,266483,172337,169471,144409,121236,124504,,,,,,,,,,,,,,,,,,,,,,,,
新闻联播里最甜的小可爱,86048,878762,716765,488478,316385,233075,190292,121662,74279,53823,46998,45763,53103,78261,148214,303867,382378,496909,532917,468028,499451,448517,335248,235699,104864,,,,,,,,,,,,,,,,,,,,,,,,
沈义人微博,222595,205020,127773,202508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
演员请就位最终入围名单,101705,1188960,1224482,1196213,529264,670390,536708,395240,277720,200199,146993,96826,70046,58143,47696,38548,28088,23925,20089,20466,25428,42478,66090,85734,90369,98385,,,,,,,,,,,,,,,,,,,,,,,
九寨沟景区对散客开放,150058,1029917,766409,508662,328959,222122,166545,103999,77355,68707,65476,60889,54992,56935,102263,163353,306630,399551,425128,489393,354463,1076869,114355,70842,57989,60321,70583,61985,39298,,,,,,,,,,,,,,,,,,,,
网红书店规定打卡必买一本书,78013,765296,688575,623569,491009,221900,343047,301876,294705,334520,314979,270533,220719,193784,153301,133290,122338,111509,102228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年中印游客可免签入境马来西亚,171363,426519,473509,391144,1354537,1515953,370705,1170549,113195,82602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辣条按调味面制品管理,92223,958141,870256,435058,1285815,404130,819626,431127,248605,147308,119721,101428,88404,64151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永远不要在俄罗斯叫外卖,145190,863022,873772,648261,517089,489562,483938,425261,416481,433868,395230,381882,410735,268475,328984,259655,209781,204046,190996,168924,154703,152334,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳腺癌多为无痛肿块,150401,316459,383457,585612,453803,454701,436883,413991,602004,480185,192234,228050,166001,114637,79364,54003,41557,31907,28936,31794,39274,61446,94076,157485,197836,234109,212152,160189,130206,115880,,,,,,,,,,,,,,,,,,,
异地恋到底有多难熬,173181,177954,186599,255563,243368,179931,157877,132590,126086,118896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南方人说话有多软糯,163853,263406,490589,468426,444408,382789,431619,395740,392267,341172,259469,210924,148424,95254,64955,44005,29939,24670,20968,18924,17223,17559,18660,29757,57348,,,,,,,,,,,,,,,,,,,,,,,,
交警李佳琦式宣传交通安全,136543,2261246,2312549,2107550,1638699,1399346,1441891,1476408,1101942,792012,642197,410274,243051,144069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨紫 尖叫女神,139590,2746639,2821326,2515346,2353706,1901396,1417440,945292,630391,256228,144985,237123,200493,150907,119322,106941,106037,112433,114982,382262,542484,138538,114160,,,,,,,,,,,,,,,,,,,,,,,,,,
易建联CBA历史得分王,175861,404552,987146,308170,262917,217664,172412,127159,81907,72692,69926,239150,99262,134271,99109,52467,64948,76744,74881,82866,116434,234105,96230,136542,,,,,,,,,,,,,,,,,,,,,,,,,
冷鲜店查出7000余只野生动物死尸,52480,693989,786622,403004,452483,336283,286668,237292,191549,166656,160849,177087,147942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东京奥运场馆发现致癌物质,41465,709755,869740,766747,582987,437726,342619,286568,310363,381367,210882,308904,136459,102600,92394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国曲协严厉谴责张云雷,194354,404099,382171,429150,312438,454578,473521,439475,377784,234150,243090,219957,246841,201288,153024,132391,90320,66905,52102,38642,33618,23964,20116,17928,17099,17294,25354,39403,84363,111573,113990,,,,,,,,,,,,,,,,,,
张良黄金白羊座,127118,131310,155230,168674,140309,115638,98304,90426,79376,75267,74115,74276,74437,74599,74760,74921,75082,75244,75405,75566,75727,75889,76050,76211,76372,76534,76695,76856,77018,77179,77340,77501,77663,77824,77985,78146,78308,78469,78630,78791,78953,79114,79275,79436,79598,79759,79920,80082,80243
50后网购的样子,152476,284360,344614,399171,376117,355767,340612,293202,286627,268830,183887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
猩妃,141149,645851,636966,595947,512456,427050,478224,505819,606955,336974,344919,314886,314618,250960,204059,181924,161291,137992,121254,85469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
坐公交把手机扔进投币箱,126661,384927,394520,311666,211224,170873,148833,140885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金宇彬康复后首亮相,173650,1730366,1459309,1253088,1471485,1304206,700755,618574,424205,257630,163950,114750,88748,71108,53300,35113,29359,24239,23372,28263,42228,81111,112908,146194,152982,,,,,,,,,,,,,,,,,,,,,,,,
孟美岐短发造型,156949,500378,641753,410619,392856,380278,375845,334176,287207,253084,237953,187321,168452,144019,126590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本女性最想拥有的颜,69501,582391,399892,529271,434650,269207,335106,416450,370660,324755,284931,288798,323649,312455,348303,253554,241274,178571,140129,88752,60767,44516,35535,27713,25021,23395,23053,18316,28267,40583,64280,87674,104775,112381,114312,104737,89610,82863,75161,67547,47064,,,,,,,,
被活埋男婴父亲到村医家致谢,164896,311175,639793,522450,440937,316886,271032,199728,154415,121174,87201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
两千年前动物木乃伊被发现,219002,450087,434885,469426,562051,513679,517776,405596,368201,1306799,1270629,1062740,646395,805755,686046,191531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗伯遗体将被带回内地安葬,208902,2856179,2492076,1885760,983847,1083964,893882,951889,914359,742658,761076,360205,303313,358374,355083,354586,355169,348611,346091,345386,347620,345360,347821,302347,293400,349977,169334,136918,111482,122720,,,,,,,,,,,,,,,,,,,
龙俊亨ins简介,168016,572100,621850,338674,445557,363069,708960,587757,467479,379406,313993,292680,250838,203012,171583,146788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中了东北男明星的毒,213213,463501,342154,306510,236370,256667,239258,235823,278012,203811,249490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
直男眼里的护肤,233545,168323,165577,143547,106815,80736,61769,42282,31267,25683,22028,19483,17834,15641,16073,21880,39178,81325,101960,109249,111595,117613,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩庚卢靖姗官宣结婚,107827,3613183,3502068,3103717,2807128,2976400,2510872,2182428,1726784,1257275,977579,829871,635765,411305,265141,204659,158278,137661,122367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神武门现巨型御猫,145018,290570,376692,349215,360282,281272,219693,178869,160126,152171,122240,116479,110719,104958,99198,93437,87677,81916,76156,70395,64635,58874,53114,47353,41593,35832,30072,24311,18551,12790,,,,,,,,,,,,,,,,,,,
李沁金鹤奖最佳女配角,124636,1346148,2328530,1528419,1641955,1193845,1074948,2001177,869834,1674950,671171,643010,603061,667616,677406,317157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全国机场将推行餐饮同城同价,113934,218928,351778,207802,147779,104166,77679,54965,43153,36476,73261,33096,38704,41634,36557,31697,100671,113729,211240,143798,111722,78946,,,,,,,,,,,,,,,,,,,,,,,,,,,
